Cruise_Code,Stratum,ICES,Lat,Lon
CE15014,1,Mizen,51.4012,-10.027
CE15014,1,Mizen,50.9842,-10.01
CE15014,1,Mizen,50.9842,-8.452
CE15014,1,Mizen,51.598,-8.452
CE15014,1,Mizen,51.4792,-9.141
CE15014,1,Mizen,51.42,-9.53
CE15014,1,Mizen,51.4425,-9.551
CE15014,1,Mizen,51.4012,-10.027
CE15014,2,Offshore,51.3672,-8.454
CE15014,2,Offshore,50.9853,-8.454
CE15014,2,Offshore,50.9853,-5.963
CE15014,2,Offshore,52.0122,-5.963
CE15014,2,Offshore,52.0122,-6.337
CE15014,2,Offshore,51.6753,-7.355
CE15014,2,Offshore,51.3672,-8.454
CE15014,3,Inshore,51.3678,-8.473
CE15014,3,Inshore,51.3702,-8.452
CE15014,3,Inshore,51.6995,-7.301
CE15014,3,Inshore,51.9155,-6.651
CE15014,3,Inshore,52.1848,-6.668
CE15014,3,Inshore,52.1808,-6.784
CE15014,3,Inshore,52.11,-6.923
CE15014,3,Inshore,52.1265,-6.98
CE15014,3,Inshore,52.1213,-7.121
CE15014,3,Inshore,52.1305,-7.16
CE15014,3,Inshore,52.1223,-7.239
CE15014,3,Inshore,52.1223,-7.382
CE15014,3,Inshore,52.0772,-7.514
CE15014,3,Inshore,51.9918,-7.567
CE15014,3,Inshore,51.9702,-7.615
CE15014,3,Inshore,51.8877,-7.826
CE15014,3,Inshore,51.864,-7.851
CE15014,3,Inshore,51.7658,-8.171
CE15014,3,Inshore,51.7855,-8.214
CE15014,3,Inshore,51.708,-8.312
CE15014,3,Inshore,51.6687,-8.467
CE15014,3,Inshore,51.3678,-8.473
CE15014,4,Dunmanus,51.4513,-9.843
CE15014,4,Dunmanus,51.4203,-9.938
CE15014,4,Dunmanus,51.4842,-10.043
CE15014,4,Dunmanus,51.5323,-9.881
CE15014,4,Dunmanus,51.5305,-9.822
CE15014,4,Dunmanus,51.5633,-9.702
CE15014,4,Dunmanus,51.5425,-9.682
CE15014,4,Dunmanus,51.5203,-9.763
CE15014,4,Dunmanus,51.4775,-9.858
CE15014,4,Dunmanus,51.4513,-9.843
CE15014,5,Bantry,51.4753,-10.103
CE15014,5,Bantry,51.5632,-9.817
CE15014,5,Bantry,51.5808,-9.789
CE15014,5,Bantry,51.632,-9.667
CE15014,5,Bantry,51.655,-9.699
CE15014,5,Bantry,51.609,-9.847
CE15014,5,Bantry,51.6077,-9.939
CE15014,5,Bantry,51.5832,-10.037
CE15014,5,Bantry,51.5895,-10.124
CE15014,5,Bantry,51.5498,-10.225
CE15014,5,Bantry,51.4753,-10.103
CE15014,6,Kenmare,51.5957,-10.344
CE15014,6,Kenmare,51.6033,-10.218
CE15014,6,Kenmare,51.6383,-10.103
CE15014,6,Kenmare,51.6723,-10.114
CE15014,6,Kenmare,51.7178,-10.039
CE15014,6,Kenmare,51.7562,-9.913
CE15014,6,Kenmare,51.7918,-9.927
CE15014,6,Kenmare,51.7593,-10.024
CE15014,6,Kenmare,51.732,-10.127
CE15014,6,Kenmare,51.7178,-10.26
CE15014,6,Kenmare,51.7345,-10.281
CE15014,6,Kenmare,51.7505,-10.209
CE15014,6,Kenmare,51.8035,-10.257
CE15014,6,Kenmare,51.775,-10.336
CE15014,6,Kenmare,51.8275,-10.392
CE15014,6,Kenmare,51.757,-10.542
CE15014,6,Kenmare,51.5957,-10.344
CE15014,7,Dingle,51.8383,-10.566
CE15014,7,Dingle,51.8967,-10.433
CE15014,7,Dingle,51.9987,-10.258
CE15014,7,Dingle,52.043,-10.082
CE15014,7,Dingle,52.111,-10.12
CE15014,7,Dingle,52.1002,-10.338
CE15014,7,Dingle,52.0897,-10.485
CE15014,7,Dingle,52.0308,-10.593
CE15014,7,Dingle,51.9987,-10.75
CE15014,7,Dingle,51.8383,-10.566
CE15014,8,Kerry Hd,52.3295,-10.34
CE15014,8,Kerry Hd,52.2773,-10.259
CE15014,8,Kerry Hd,52.3017,-10.142
CE15014,8,Kerry Hd,52.3367,-10.054
CE15014,8,Kerry Hd,52.3713,-9.911
CE15014,8,Kerry Hd,52.4177,-9.973
CE15014,8,Kerry Hd,52.4433,-9.89
CE15014,8,Kerry Hd,52.449,-9.82
CE15014,8,Kerry Hd,52.4625,-9.771
CE15014,8,Kerry Hd,52.5612,-9.948
CE15014,8,Kerry Hd,52.3295,-10.34